2026-02-21 22:05:41 | __main__             | INFO     | 加载系统配置...
2026-02-21 22:05:41 | __main__             | INFO     | 配置加载完成
2026-02-21 22:05:41 | src.control.vist_controller | INFO     | 初始化运动映射器...
2026-02-21 22:05:41 | src.control.vist_controller | INFO     | 运动映射器初始化完成
2026-02-21 22:05:41 | src.control.vist_controller | INFO     | 初始化 IK 求解器...
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | IK 求解器初始化完成
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | 初始化 VIST 框架...
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | 启用几何解析求解器...
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | 几何求解器初始化完成 (trust_weight=2.0)
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | VIST Kalman Filter 初始化完成
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | 初始化安全控制器...
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | 安全控制器初始化完成
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | 初始化坐标变换管理器...
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | 坐标变换管理器初始化完成
2026-02-21 22:05:42 | src.control.vist_controller | INFO     | VIST 控制器初始化完成 - 基础模式（直接控制）
2026-02-21 22:05:42 | __main__             | INFO     | 性能监控器初始化完成
2026-02-21 22:05:42 | __main__             | INFO     | 初始化完成！
2026-02-21 22:07:05 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.522m > 0.522m
2026-02-21 22:07:05 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.523m > 0.522m
2026-02-21 22:07:05 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.523m > 0.522m
2026-02-21 22:07:05 | src.control.vist_controller | ERROR    | 目标位置超出工作空间: 0.523m > 0.522m
2026-02-21 22:07:05 | __main__             | INFO     | 用户中断
2026-02-21 22:07:07 | __main__             | INFO     | 真机控制器已退出
2026-02-21 22:25:29 | __main__             | INFO     | ================================================================================
2026-02-21 22:25:29 | __main__             | INFO     | VIST 真机控制系统（重构版）
2026-02-21 22:25:29 | __main__             | INFO     | ================================================================================
2026-02-21 22:25:29 | __main__             | INFO     | 加载系统配置...
2026-02-21 22:25:29 | __main__             | INFO     | 配置加载完成
2026-02-21 22:25:29 | src.control.vist_controller | INFO     | 初始化运动映射器...
2026-02-21 22:25:29 | src.control.vist_controller | INFO     | 运动映射器初始化完成
